elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6565730,Sumqayıt,Nissan,Tiida,2012,Hetçbek / Liftbek,Bej,1.5 L,109 a.g.,Benzin,41 685 km,Avtomat,Ön,Xeyr,13 900 AZN
6599856,Bakı,LADA (VAZ),2106,1987,Sedan,Qırmızı,1.3 L,64 a.g.,Benzin,350 000 km,Mexaniki,Arxa,Xeyr,4 200 AZN
6599857,Sumqayıt,Mercedes,190,1990,Sedan,Qəhvəyi,2.0 L,122 a.g.,Benzin,245 655 km,Avtomat,Arxa,Xeyr,5 600 AZN
6529674,Bakı,Mercedes,E 220,2003,Sedan,Qara,2.2 L,150 a.g.,Dizel,232 000 km,Avtomat,Arxa,Xeyr,15 800 AZN
6599855,Bakı,BMW,428,2015,Kupe,Yaş Asfalt,2.0 L,245 a.g.,Benzin,120 000 km,Avtomat,Arxa,Xeyr,36 000 AZN
6591484,Sumqayıt,Mercedes,ML 350,2003,Offroader / SUV,Qara,3.5 L,290 a.g.,Benzin,172 000 km,Avtomat,Tam,Xeyr,12 800 AZN
6599812,Bakı,Mercedes,C 230,1998,Sedan,Qara,2.3 L,193 a.g.,Benzin,294 173 km,Avtomat,Arxa,Xeyr,12 200 AZN
6599852,Bakı,Toyota,Auris,2007,Hetçbek / Liftbek,Qara,1.4 L,90 a.g.,Dizel,234 000 km,Mexaniki,Ön,Xeyr,12 400 AZN
6599851,Xırdalan,Kia,Picanto,2006,Hetçbek / Liftbek,Göy,1.1 L,64 a.g.,Benzin,155 000 km,Mexaniki,Ön,Xeyr,8 800 AZN
6572597,Sumqayıt,Mercedes,C 200,2001,Sedan,Ağ,2.0 L,184 a.g.,Benzin,271 000 km,Avtomat,Arxa,Xeyr,11 600 AZN
6542825,Sumqayıt,Kia,Sorento,2004,Offroader / SUV,Gümüşü,2.5 L,174 a.g.,Dizel,261 685 km,Avtomat,Tam,Xeyr,14 800 AZN
6599848,Şamaxı,LADA (VAZ),2107,2004,Sedan,Ağ,1.5 L,65 a.g.,Benzin,18 000 km,Mexaniki,Arxa,Xeyr,7 000 AZN
6599842,Bakı,Nissan,Note,2013,Hetçbek / Liftbek,Qara,1.3 L,90 a.g.,Benzin,50 000 km,Avtomat,Ön,Xeyr,14 200 AZN
6539484,Sumqayıt,Nissan,Note,2013,Hetçbek / Liftbek,Qara,1.2 L,98 a.g.,Benzin,62 000 km,Avtomat,Ön,Xeyr,14 100 AZN
6599847,Ağsu,LADA (VAZ),2106,2000,Sedan,Yaşıl,1.5 L,65 a.g.,Benzin,60 000 km,Mexaniki,Arxa,Xeyr,6 200 AZN
6562483,Bakı,Mercedes,C 230,2000,Sedan,Qara,2.3 L,150 a.g.,Benzin,215 600 km,Avtomat,Arxa,Xeyr,9 950 AZN
6539459,Sumqayıt,Mercedes,B 170,2008,Hetçbek / Liftbek,Gümüşü,1.7 L,116 a.g.,Benzin,63 000 km,Avtomat,Ön,Xeyr,13 700 AZN
6559322,Bakı,BMW,530,2017,Sedan,Qara,2.0 L,249 a.g.,Benzin,78 938 km,Avtomat,Arxa,Xeyr,43 500 $
6559322,Bakı,BMW,530,2017,Sedan,Qara,2.0 L,249 a.g.,Benzin,78 938 km,Avtomat,Arxa,Xeyr,43 500 $
6554552,Sumqayıt,Lexus,LX 570,2012,Offroader / SUV,Ağ,5.7 L,367 a.g.,Benzin,131 000 km,Avtomat,Tam,Xeyr,46 000 $
6561186,Sumqayıt,Nissan,X-Trail,2001,Offroader / SUV,Qara,2.0 L,150 a.g.,Benzin,230 000 km,Avtomat,Tam,Xeyr,10 800 AZN
6599839,Bakı,Khazar,SD,2019,Sedan,Qara,1.7 L,113 a.g.,Benzin,57 000 km,Mexaniki,Ön,Xeyr,16 850 AZN
6524810,Bakı,Mitsubishi,Mirage,2017,Sedan,Ağ,1.2 L,78 a.g.,Benzin,76 171 km,Avtomat,Ön,Xeyr,13 200 AZN
6599838,Bakı,Mercedes,C 180,1996,Sedan,Yaşıl,1.8 L,129 a.g.,Benzin,478 000 km,Avtomat,Arxa,Xeyr,7 600 AZN
