elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6600499,Bakı,Ford,Focus,2015,Hetçbek / Liftbek,Ağ,1.6 L,125 a.g.,Benzin,66 000 km,Avtomat,Arxa,Xeyr,17 900 AZN
6600497,Sumqayıt,Opel,Astra,1999,Universal,Qırmızı,1.6 L,101 a.g.,Benzin,235 478 km,Avtomat,Ön,Xeyr,7 200 AZN
6600494,Sumqayıt,LADA (VAZ),2115,2012,Sedan,Tünd qırmızı,1.6 L,80 a.g.,Benzin,180 200 km,Mexaniki,Ön,Xeyr,8 900 AZN
6600485,Bakı,Mercedes,C 180,1999,Sedan,Göy,1.8 L,122 a.g.,Benzin,598 000 km,Mexaniki,Arxa,Xeyr,9 300 AZN
6600481,Bakı,Toyota,Prius,2007,Hetçbek / Liftbek,Gümüşü,1.5 L,76 a.g.,Hibrid,149 500 km,Avtomat,Tam,Xeyr,13 900 AZN
6600178,Bakı,Toyota,Prius,2010,Hetçbek / Liftbek,Gümüşü,1.8 L,99 a.g.,Hibrid,208 624 km,Avtomat,Ön,Xeyr,17 300 AZN
6600166,Bakı,Porsche,Panamera 4,2010,Hetçbek / Liftbek,Qara,3.6 L,300 a.g.,Benzin,53 000 km,Avtomat,Tam,Xeyr,36 000 $
6600479,Bakı,BMW,528,2011,Sedan,Qara,2.0 L,245 a.g.,Benzin,165 000 km,Avtomat,Arxa,Xeyr,19 500 $
6524815,Bakı,Chevrolet,Cruze,2011,Sedan,Ağ,1.4 L,141 a.g.,Benzin,205 996 km,Avtomat,Ön,Xeyr,13 300 AZN
6600478,Bakı,Mercedes,E 220,1994,Sedan,Gümüşü,2.2 L,150 a.g.,Benzin,320 000 km,Avtomat,Arxa,Xeyr,8 500 AZN
6600477,Gəncə,Mercedes,C 240,1997,Sedan,Qara,2.4 L,170 a.g.,Benzin,222 222 km,Mexaniki,Arxa,Xeyr,9 400 AZN
6600473,Mingəçevir,LADA (VAZ),2115,2011,Sedan,Qara,1.6 L,80 a.g.,Benzin,230 000 km,Mexaniki,Tam,Xeyr,8 600 AZN
