elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6521701,Bakı,BMW,X7,2021,Offroader / SUV,Qara,3.0 L,340 a.g.,Benzin,28 000 km,Avtomat,Tam,Xeyr,128 000 $
6604623,Bakı,Hyundai,Sonata,2010,Sedan,Ağ,2.4 L,174 a.g.,Benzin,337 500 km,Avtomat,Ön,Xeyr,21 000 AZN
6552341,Bakı,Hyundai,Sonata,2015,Sedan,Narıncı,2.0 L,274 a.g.,Benzin,112 000 km,Avtomat,Ön,Xeyr,26 800 AZN
6525322,Bakı,Mercedes,S 63 AMG Coupe,2014,Kupe,Ağ,5.5 L,585 a.g.,Benzin,25 829 km,Avtomat,Tam,Xeyr,88 000 $
6537345,Bakı,Land Rover,Discovery,2012,Offroader / SUV,Qəhvəyi,3.0 L,245 a.g.,Dizel,234 000 km,Avtomat,Tam,Xeyr,26 400 $
6595270,Sumqayıt,Hyundai,Sonata,2015,Sedan,Ağ,2.0 L,274 a.g.,Benzin,90 000 km,Avtomat,Ön,Xeyr,28 900 AZN
6590958,Bakı,Mercedes,E 200,2021,Sedan,Qara,2.0 L,197 a.g.,Hibrid,11 000 km,Avtomat,Arxa,Xeyr,59 500 $
6586359,Bakı,BMW,X5,2006,Offroader / SUV,Qara,4.8 L,360 a.g.,Benzin,258 000 km,Avtomat,Tam,Xeyr,25 800 AZN
6604608,Bakı,Mitsubishi,Pajero Sport,2021,Offroader / SUV,Yaş Asfalt,3.0 L,209 a.g.,Benzin,13 500 km,Avtomat,Arxa,Xeyr,37 000 €
6594468,Bakı,Kia,Picanto,2012,Hetçbek / Liftbek,Ağ,1.3 L,85 a.g.,Benzin,129 560 km,Avtomat,Ön,Xeyr,14 800 AZN
6594527,Sumqayıt,BMW,528,2012,Sedan,Qara,2.0 L,245 a.g.,Benzin,193 000 km,Avtomat,Arxa,Xeyr,18 900 $
6285737,Bakı,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,4.0 L,282 a.g.,Benzin,169 704 km,Avtomat,Tam,Xeyr,37 500 $
6604573,Bakı,Lexus,GX 460,2014,Offroader / SUV,Ağ,4.6 L,296 a.g.,Benzin,139 542 km,Avtomat,Tam,Xeyr,46 000 $
6459709,Bakı,Infiniti,QX80,2015,Offroader / SUV,Qara,5.6 L,405 a.g.,Benzin,85 000 km,Avtomat,Tam,Xeyr,56 500 $
